,CJ01,CJ02,CJ03,CJ04,CJ05,CJ06,CJ07,CJ08,CJ09,CJ010,CJ011,CJ012,CJ013,CJ014,CJ015,CJ016,CJ017,CJ018
qNor,626,674,706,445,656,283,584,637,350,859,598,599,534,369,234,613,764,418
Clade 1,1,2,3,1,1,0,2,3,3,1,3,0,0,0,0,0,1,0
Clade 2,2,11,10,1,2,1,1,1,2,5,3,2,0,0,2,0,3,2
Clade 3,16,20,36,8,9,8,8,28,14,21,23,17,7,10,8,17,4,1
Clade 4,37,32,59,25,41,52,36,56,45,67,72,50,36,25,12,79,91,49
Clade 5,1,6,3,3,1,2,0,6,3,4,3,1,1,2,1,6,4,3
Clade 6,0,0,1,1,1,0,5,2,0,2,1,2,0,0,1,0,0,1
Clade 7,338,297,355,195,264,103,324,292,115,387,258,269,188,125,103,195,243,118
Clade 8,0,0,2,0,1,0,1,0,2,2,0,2,0,0,0,2,1,0
Clade 9,230,306,236,211,335,117,207,249,166,370,235,256,302,207,106,314,417,244
Clade 10,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Clade 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clade 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clade 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
